pk_business_id,License Number,Federal Registry No,Local Registry No,Business Name,Legal Type,pk_stakeholder_ids,Stakeholder Rates,Stakeholder Types,Activity Names,Activity Names Serial #,Unit Including,Unit,Landlord,Street,Zone,Fax,Telephone,Mobile,P.O. Box,Expiry Date,Renewal Date,Est. Date,Receipt Date,Receipt No.,Remarks
6702,3932669819,23-585-0905,27-371-6770,Kessler-Franecki,Legal,Steak Holder,1,Signatory,Fashion Designing,1,6111703129,12,4514982741,Clemons,,622-480-9904,840-621-7134,985-148-5774,85,9/11/2018,15/08/2018,27/03/2018,5/4/2018,2463655585,
6703,5714601629,40-840-0293,75-444-0825,"Abshire, Smith and Padberg",Services,Souk al Waha,0.8,Sponsor,Food Provider,2,6938553890,11,4875020635,Morningstar,,426-352-0857,122-132-4196,324-344-7246,784,23/12/2018,27/07/2018,14/07/2018,4/8/2018,3375823703,
6704,2007148536,22-207-8791,24-285-6625,"Lindgren, Kautzer and Schmeler",Product Management,Steak Holder,0.7,Partner & Responsible Manager,Food Provider,3,8527575272,32,3539428364,High Crossing,,345-573-5811,328-920-7605,909-241-6197,4,11/7/2018,21/07/2018,30/05/2018,18/11/2018,8862946317,
6705,127360271,77-422-5090,35-846-1897,Kuhn Inc,Research and Development,Souk al Waha,0.4,Signatory,Fashion Designing,4,7751594543,14,9564333768,Manley,,544-795-4992,193-298-5620,722-259-0455,7897,12/4/2018,17/10/2018,3/9/2018,5/10/2018,5827204455,
6706,4092633629,86-293-5190,66-440-9467,Haag LLC,Sales,Souk al Waha,1,Project Manager,Food Delivery,5,6161926407,27,5676239182,Bonner,,959-941-6732,127-172-2721,273-827-7673,365,8/10/2018,25/02/2018,26/08/2018,1/5/2018,2564830676,
6707,1701011468,69-406-4048,15-815-6401,"Collier, Emard and Borer",Research and Development,Orange Company,0.7,Signatory,IT Services,1,9984477916,19,2048162827,Judy,,473-747-1282,972-360-5355,526-802-5334,9,10/11/2018,26/01/2019,15/08/2018,21/11/2018,4433628158,
6708,2960735579,91-488-0987,58-828-1416,Streich-Harris,Engineering,Souk al Waha,0.7,Project Manager,IT Services,2,707086795,11,3363426690,Sauthoff,,448-559-1725,463-995-6886,542-136-5049,3,19/08/2018,3/6/2018,11/8/2018,23/07/2018,9220849739,
6709,8178334062,97-873-4168,68-951-9690,Metz-Heathcote,Support,Glass Inc.,0.6,Signatory,Fashion Designing,3,8640144915,24,4154745735,Marquette,,327-866-3544,163-526-8966,617-734-1734,2,19/03/2018,24/02/2018,12/9/2018,12/10/2018,4535501122,
6710,104535849,02-743-4884,37-198-7069,Orn Inc,Legal,Orange Company,0.5,Signatory,IT Services,4,4318146596,19,1144298822,Redwing,,568-856-8787,726-815-4272,163-886-3378,67,15/07/2018,9/5/2018,1/12/2018,13/06/2018,3866312466,
6711,2180722273,88-054-6952,38-213-0831,Quigley Inc,Product Management,Orange Company,0.7,Sponsor,IT Services,5,1938702220,31,251669726,Superior,,426-522-8692,633-381-1871,440-769-5457,0,9/9/2018,2/5/2018,14/10/2018,7/12/2018,9881559340,
6712,4241829821,55-724-4490,58-389-6920,Schinner-Quigley,Sales,Souk al Waha,1,Partner & Responsible Manager,Car Manufacturing,1,1725804662,13,7729277867,Anniversary,,681-412-7368,101-785-1898,909-524-0194,377,13/07/2018,23/10/2018,12/2/2019,12/9/2018,660427370,
6713,2391805950,92-615-9724,32-473-0325,"Dicki, Jakubowski and Reynolds",Legal,Glass Inc.,0.1,Signatory,Car Manufacturing,2,7032704204,13,3466127041,Comanche,,781-131-9612,730-191-7778,287-438-4473,58827,16/06/2018,6/2/2019,21/05/2018,2/12/2018,1593937296,
6714,9289018054,38-967-9228,61-616-9489,"Runte, Legros and Bergstrom",Support,Glass Inc.,0.1,Project Manager,IT Services,3,4965158318,17,5267710598,Summer Ridge,,227-662-6215,923-905-5619,212-122-1144,605,10/2/2019,27/04/2018,22/06/2018,26/03/2018,8760409045,
6715,4349314156,37-963-2440,96-309-0681,Jacobs LLC,Legal,Glass Inc.,0.1,Signatory,Food Provider,4,7078334965,28,6580720387,Mariners Cove,,217-111-6748,215-703-6568,772-727-9431,757,2/2/2019,6/6/2018,15/04/2018,17/11/2018,9839681079,
6716,2388841356,08-927-4910,17-043-2797,"Russel, Lakin and Ratke",Research and Development,Glass Inc.,0,Sponsor,Food Delivery,5,5061987551,30,9587292871,Johnson,,822-304-0103,173-612-7816,237-488-2442,4,22/11/2018,23/03/2018,8/3/2018,1/1/2019,6051403329,
6717,351365680,60-569-9714,74-971-1786,"Nader, Lockman and Tillman",Human Resources,Souk al Waha,0.4,Partner & Responsible Manager,Car Manufacturing,1,4548557067,11,5865916459,Continental,,399-736-6802,554-157-8790,960-857-7361,3260,25/11/2018,2/12/2018,22/02/2018,23/07/2018,3690765919,
6718,6090603074,20-179-3661,15-026-0377,Kohler and Sons,Services,Steak Holder,0.2,Sponsor,IT Services,2,5133006705,32,6183424005,Blackbird,,167-188-3830,538-675-9989,506-560-6225,68,27/01/2019,17/07/2018,19/06/2018,15/07/2018,5463661375,
6719,9630187140,77-950-0003,61-714-3314,Lowe Group,Legal,Souk al Waha,0.9,Sponsor,Food Delivery,3,9982615378,23,3952502987,Eagle Crest,,945-799-7978,319-112-4751,125-266-1547,1698,12/10/2018,27/11/2018,28/08/2018,23/10/2018,1713554453,
6720,4787113372,55-293-7854,29-389-5581,"Lynch, Monahan and Graham",Training,Glass Inc.,0.5,Partner & Responsible Manager,Fashion Designing,4,5097725247,20,1339799413,Scofield,,409-465-1685,664-359-8058,107-863-9452,7696,10/5/2018,17/08/2018,23/04/2018,12/9/2018,2486052984,
6721,549194231,53-374-5087,70-467-4061,Schinner Inc,Accounting,Glass Inc.,0.6,Sponsor,Food Delivery,5,5398450735,28,863572480,Lien,,850-405-6887,298-753-5333,265-694-1237,6,17/10/2018,26/08/2018,9/1/2019,15/02/2018,7264217590,
6722,8863756678,74-363-0948,63-337-4383,"Ullrich, Bins and Hermann",Training,Steak Holder,0.2,Project Manager,Food Provider,1,8272106221,23,4107043061,Springs,,771-987-4895,615-150-8574,694-400-4153,96394,20/01/2019,25/03/2018,1/8/2018,20/03/2018,4282036958,
6723,3885723182,52-920-5252,36-661-3191,Osinski-Davis,Sales,Steak Holder,0.5,Sponsor,Food Delivery,2,1945641339,27,6067370336,Florence,,803-764-8624,412-666-2811,515-768-1018,1,3/11/2018,28/05/2018,2/4/2018,20/01/2019,2195732040,
6724,6024583133,19-943-5493,12-269-3056,Upton-Frami,Business Development,Glass Inc.,0.8,Sponsor,Car Manufacturing,3,4413592727,15,847352927,Mitchell,,740-452-4470,736-494-8566,689-294-1734,18507,18/11/2018,28/12/2018,25/12/2018,11/2/2019,231081723,
6725,8747325526,22-752-9282,18-279-4791,Reilly-Pollich,Human Resources,Souk al Waha,0.8,Partner & Responsible Manager,Food Provider,4,8351274909,1,560066147,Mallory,,280-220-4922,795-985-5368,439-417-9433,25,30/03/2018,21/11/2018,12/3/2018,26/03/2018,1556552602,
6726,6413140291,81-291-7162,63-335-0035,Jakubowski-Corwin,Legal,Steak Holder,0,Signatory,Food Provider,5,7858249991,18,30061644,Sunnyside,,686-593-1467,204-665-7304,407-558-8025,3,13/08/2018,19/08/2018,7/12/2018,10/7/2018,852956029,
6727,3339399883,53-623-2828,09-163-3410,"Lind, Rohan and Mertz",Business Development,Orange Company,0.8,Sponsor,Car Manufacturing,1,6553382808,1,2885903112,Thackeray,,934-931-4195,894-453-1651,374-917-9293,93,10/10/2018,3/10/2018,26/03/2018,3/4/2018,9971081342,
6728,5875944056,73-312-5088,70-147-0946,Stamm-Keeling,Services,Souk al Waha,0.6,Partner & Responsible Manager,Fashion Designing,2,7625313476,21,3746315336,Pawling,,560-217-4189,582-951-2766,553-913-6549,19,31/01/2019,28/04/2018,18/09/2018,13/06/2018,1975227794,
6729,4190917427,73-942-1146,81-540-4958,Harvey-Ziemann,Support,Glass Inc.,0.1,Signatory,Food Delivery,3,2797131975,17,7498348101,Green,,912-509-9329,363-392-0281,392-787-7065,3877,16/09/2018,21/09/2018,16/06/2018,21/02/2018,1930473990,
6730,8210603620,14-397-3543,31-554-3275,Kiehn-Kirlin,Marketing,Steak Holder,0.6,Sponsor,Car Manufacturing,4,2333117249,32,2147946370,Thierer,,449-944-9590,999-312-7268,263-659-4671,833,9/12/2018,20/10/2018,14/07/2018,20/06/2018,5799449703,
6731,8457579789,66-109-9317,55-114-0596,"Wolf, Schinner and Pagac",Marketing,Steak Holder,0.7,Sponsor,Car Manufacturing,5,2813962104,7,8866584975,Golf View,,100-618-2738,334-774-6332,487-795-6474,4,24/09/2018,21/04/2018,22/05/2018,21/12/2018,2880734991,
6732,4250998223,47-330-4265,62-061-8410,Koepp-Sporer,Sales,Glass Inc.,0.7,Sponsor,Fashion Designing,1,5241175709,3,3488363554,Towne,,814-387-9119,621-392-4725,362-742-8623,7,27/06/2018,31/05/2018,22/01/2019,3/1/2019,4033609695,
6733,9558458112,65-798-8195,05-119-9520,Kreiger-Ferry,Accounting,Souk al Waha,0.1,Project Manager,Fashion Designing,2,857658565,25,8441225656,Hollow Ridge,,942-713-4637,758-702-8290,438-412-5365,7,13/01/2019,6/10/2018,29/07/2018,14/02/2018,5152098008,
6734,9552850053,42-599-8349,43-271-2123,Swift Group,Engineering,Glass Inc.,0.3,Project Manager,IT Services,3,2809595828,17,917802357,Maywood,,444-734-1876,699-588-0528,437-959-3578,41,3/5/2018,9/1/2019,13/12/2018,27/11/2018,6502984339,
6735,6081426440,44-026-7569,99-810-2626,MacGyver and Sons,Product Management,Steak Holder,0.4,Partner & Responsible Manager,Fashion Designing,4,9013719074,25,9100652830,Sutherland,,807-524-7895,193-497-6393,951-772-6665,70,7/2/2019,10/4/2018,27/12/2018,16/03/2018,2190901766,
6736,3932175409,08-778-3033,60-914-8516,Bartoletti-O'Conner,Training,Orange Company,1,Project Manager,Food Delivery,5,1512787981,15,1298670446,Maple Wood,,740-336-0322,651-329-9000,477-981-3856,71,21/02/2018,26/08/2018,14/08/2018,10/2/2019,14066033,
6737,6227838845,87-807-6056,72-187-0262,Keeling-Kuphal,Sales,Orange Company,0.8,Sponsor,Food Provider,1,7802499488,22,36770825,Park Meadow,,320-123-5443,602-639-6069,402-678-3691,4,6/7/2018,23/12/2018,22/07/2018,27/04/2018,587604093,
6738,5091599819,40-524-6102,29-997-7009,"Satterfield, McKenzie and Williamson",Product Management,Orange Company,0.8,Signatory,Food Provider,2,6855415121,19,4899371861,Corry,,500-862-0124,534-903-3960,247-953-5755,56906,14/01/2019,26/04/2018,30/03/2018,3/4/2018,3301799043,
6739,893791865,48-511-5119,41-696-8229,Gleichner LLC,Product Management,Souk al Waha,0.7,Signatory,Fashion Designing,3,1321948670,13,296102296,Kingsford,,988-828-6182,630-928-7935,858-978-7761,8605,23/03/2018,11/11/2018,28/03/2018,15/10/2018,4613143195,
6740,2286048207,99-903-5234,86-607-1020,"Ernser, Langosh and Cummerata",Business Development,Glass Inc.,0.3,Sponsor,Fashion Designing,4,171550447,32,2504840101,Bunting,,776-442-5673,437-822-4592,705-495-7840,0,30/11/2018,19/06/2018,18/11/2018,1/9/2018,4001133083,
6741,3684672297,00-162-2933,99-766-2635,Quitzon LLC,Accounting,Steak Holder,0.1,Project Manager,IT Services,5,8294605050,1,3520041669,Briar Crest,,968-824-5928,575-527-2936,691-165-0152,93,9/8/2018,12/10/2018,14/01/2019,9/1/2019,2698913886,
6742,4153695378,85-338-7618,60-121-9873,"Turcotte, Harber and Hoppe",Human Resources,Souk al Waha,0.2,Signatory,IT Services,1,5761963663,28,6821880190,Melody,,293-386-5301,642-932-0295,769-923-5188,8,9/10/2018,1/8/2018,28/07/2018,19/08/2018,1522720669,
6743,7309613988,39-058-1475,71-242-7048,"Schowalter, Gottlieb and Quitzon",Product Management,Souk al Waha,0.9,Partner & Responsible Manager,Food Delivery,2,9283266056,9,9259297923,Spaight,,926-499-7642,398-357-7819,742-207-1164,16,15/02/2018,31/10/2018,1/1/2019,20/12/2018,7353071796,
6744,3057559573,19-923-1984,64-643-3356,"Sanford, Hayes and Hessel",Marketing,Souk al Waha,0.3,Project Manager,IT Services,3,2778214917,16,2317841728,Sage,,610-216-8157,952-904-9966,632-816-6710,1,1/2/2019,21/09/2018,7/9/2018,18/06/2018,9869497683,
6745,9862585706,66-934-9419,87-803-4960,MacGyver-Gutmann,Engineering,Souk al Waha,0.2,Project Manager,Food Delivery,4,9946714779,30,6897345539,Cambridge,,770-336-9890,105-666-8757,139-226-4728,23314,30/08/2018,26/08/2018,30/04/2018,3/9/2018,88569136,
6746,6713510094,82-576-8604,39-124-3457,"Adams, Bahringer and Sanford",Product Management,Orange Company,0.7,Signatory,Fashion Designing,5,1301245534,5,3077046830,Melody,,623-733-5475,663-107-4341,289-862-8228,674,19/02/2018,31/03/2018,2/7/2018,3/3/2018,1179712358,
6747,6226638184,46-959-2487,86-897-5458,Turcotte Inc,Support,Glass Inc.,0.5,Project Manager,Food Provider,1,534987567,5,5713206769,Vahlen,,644-659-4292,861-130-3603,949-503-1007,4388,26/09/2018,21/08/2018,4/2/2019,2/7/2018,4267553297,
6748,9829006093,14-544-2540,40-250-4649,Waelchi Inc,Engineering,Steak Holder,0.5,Signatory,IT Services,2,4772487468,16,33814392,Rusk,,970-269-6770,741-799-4063,328-917-3135,9807,8/11/2018,24/08/2018,19/11/2018,8/7/2018,3584087465,
6749,982312075,35-298-1611,02-101-6645,Witting LLC,Product Management,Steak Holder,0.8,Partner & Responsible Manager,Car Manufacturing,3,448831309,4,7403377575,Jenifer,,242-264-3151,729-160-7442,456-996-0896,7,16/01/2019,22/09/2018,10/5/2018,2/3/2018,1565036069,
6750,7844635509,82-556-7262,62-202-6458,Crona-Paucek,Services,Steak Holder,0.9,Project Manager,Food Provider,4,2624173021,3,596685432,Warbler,,929-956-7975,445-966-2061,689-146-3822,86048,17/01/2019,9/7/2018,26/10/2018,24/08/2018,1232324035,
6751,5671287707,37-261-6253,79-544-8650,"Carroll, Bernhard and Stehr",Human Resources,Steak Holder,0,Sponsor,IT Services,5,9872576955,6,1507448945,Corscot,,900-963-2469,355-561-7321,109-644-2459,0,3/5/2018,14/08/2018,4/1/2019,24/05/2018,6059888887,
6752,6910110889,62-945-1219,95-523-1571,Boyle-Quigley,Services,Souk al Waha,0.7,Sponsor,Car Manufacturing,1,9503039940,6,9728988206,Stephen,,516-689-8426,755-832-8573,954-840-7624,35809,1/10/2018,21/11/2018,17/09/2018,27/10/2018,8006212856,
6753,3374217052,40-707-9477,36-148-4694,Lakin-McClure,Product Management,Steak Holder,0.8,Signatory,Fashion Designing,2,8050272060,4,5185410124,Canary,,707-184-0846,407-455-7784,300-707-0868,1,22/08/2018,9/8/2018,13/01/2019,2/5/2018,4263616936,
6754,5788127947,17-574-4832,44-551-9004,"Bernhard, Barrows and Rolfson",Business Development,Steak Holder,0.7,Project Manager,IT Services,3,1794822372,20,44323042,Corben,,238-512-1673,122-435-2222,322-629-9308,93725,24/12/2018,19/01/2019,24/10/2018,28/08/2018,2463715944,
6755,9298177666,94-410-9739,20-725-4309,Windler Inc,Product Management,Glass Inc.,0.3,Partner & Responsible Manager,IT Services,4,6885034886,14,5597304283,Loomis,,624-383-4804,827-108-2093,499-251-9268,45,4/4/2018,2/7/2018,21/04/2018,23/05/2018,7499959600,
6756,5519157588,46-276-3855,82-341-3813,"Daniel, Fritsch and Boyle",Research and Development,Steak Holder,0.4,Partner & Responsible Manager,Fashion Designing,5,617940673,28,2942626208,Dovetail,,590-350-1794,993-100-6312,210-784-5517,61,19/09/2018,3/8/2018,7/6/2018,18/12/2018,8045784512,
6757,430257589,79-520-0239,21-694-3436,"Hegmann, O'Reilly and Reichel",Accounting,Glass Inc.,0.9,Signatory,Car Manufacturing,1,5633011473,6,7586964440,Lillian,,343-632-9094,162-462-4207,914-955-1046,1338,29/09/2018,22/06/2018,29/12/2018,27/03/2018,9645514630,
6758,845932241,38-946-5859,00-577-1865,Pagac-Leannon,Human Resources,Souk al Waha,0.5,Partner & Responsible Manager,Fashion Designing,2,8633666782,27,7189429530,Pepper Wood,,101-467-6058,884-685-8468,322-813-8507,1,17/05/2018,29/08/2018,3/1/2019,15/08/2018,9457231864,
6759,5715618207,23-785-6466,14-677-9791,Dare-Grimes,Training,Orange Company,0.2,Project Manager,IT Services,3,6094778812,27,7010755663,New Castle,,202-888-9067,120-660-1532,761-519-8779,70,22/09/2018,12/1/2019,27/03/2018,8/8/2018,4140550163,
6760,9346893869,38-000-4566,93-959-5280,Greenfelder-Feil,Research and Development,Glass Inc.,0.2,Signatory,IT Services,4,8498040558,12,6595113023,Armistice,,831-223-8856,514-161-9079,192-795-1330,21060,17/01/2019,3/7/2018,31/12/2018,2/1/2019,3717516647,
6761,3396156641,79-774-8450,77-176-0406,Ullrich Inc,Training,Souk al Waha,0.4,Signatory,Food Provider,5,5579682840,3,5952545696,2nd,,246-488-6563,217-118-1701,902-302-1635,40986,8/11/2018,28/08/2018,20/07/2018,29/05/2018,8126413956,
6762,9194001820,55-389-3776,19-017-1243,Parisian-Reichel,Business Development,Steak Holder,0.5,Signatory,IT Services,1,3462619675,1,7133933314,1st,,866-542-8083,540-353-1616,386-697-9868,4034,1/6/2018,27/03/2018,18/01/2019,12/6/2018,4264251729,
6763,9112790265,04-966-6820,21-637-4243,Kreiger Inc,Marketing,Orange Company,1,Sponsor,Fashion Designing,2,1007788666,2,9831756142,Mallory,,507-920-5443,601-495-4988,503-160-2984,855,21/03/2018,10/9/2018,2/2/2019,2/12/2018,748427120,
6764,3491611296,83-792-4652,22-423-5122,Conn-Nolan,Services,Orange Company,0,Signatory,Fashion Designing,3,7573833334,18,8842465976,Schurz,,911-663-6045,298-193-1245,472-169-0239,9,3/8/2018,30/10/2018,20/03/2018,22/06/2018,9428780790,
6765,7267231799,63-342-7772,36-750-9292,"Koepp, Yost and Jacobson",Product Management,Souk al Waha,0.6,Signatory,Fashion Designing,4,7175183682,10,3206977983,Chinook,,531-233-6852,831-116-2648,425-953-3680,1522,2/6/2018,4/1/2019,8/1/2019,2/8/2018,1135960038,
6766,1336839414,13-792-9275,74-520-1780,Konopelski Inc,Legal,Steak Holder,0.8,Sponsor,Car Manufacturing,5,6500996054,16,9070989026,Northwestern,,622-575-8113,760-370-8058,674-794-1247,30714,10/1/2019,21/09/2018,31/07/2018,2/3/2018,499486161,
6767,3937867139,04-841-3639,20-887-0055,"Upton, Rutherford and Haley",Product Management,Orange Company,0.3,Partner & Responsible Manager,IT Services,1,9768731850,20,8024031760,Express,,285-676-7645,201-796-6432,176-719-9368,1944,24/10/2018,6/8/2018,29/07/2018,23/03/2018,6473004246,
6768,7636467186,51-851-9695,49-341-8348,"Jones, Reinger and Howell",Engineering,Orange Company,1,Signatory,Fashion Designing,2,5415105182,31,4614788343,Kedzie,,911-102-0719,935-965-8829,187-630-9754,84,8/11/2018,23/12/2018,4/3/2018,13/08/2018,1411668723,
6769,1817499866,41-471-3671,87-481-1994,Sipes and Sons,Support,Souk al Waha,0.7,Project Manager,Food Provider,3,9265227990,17,3244573800,Toban,,580-991-4346,359-247-8894,793-249-3359,1,20/10/2018,20/05/2018,19/04/2018,29/09/2018,849281385,
6770,8626524560,42-299-4796,59-336-0206,King-Brekke,Human Resources,Orange Company,0.2,Sponsor,IT Services,4,9990230684,12,7603152437,Pierstorff,,962-997-2111,561-866-7844,860-678-5693,276,12/7/2018,28/01/2019,16/04/2018,19/10/2018,8546063885,
6771,3236654562,50-179-8199,57-996-0806,Kessler Inc,Human Resources,Glass Inc.,0.5,Project Manager,IT Services,5,7183928632,28,9890830930,Nevada,,816-915-4390,371-777-9860,333-400-3780,353,24/11/2018,26/07/2018,10/9/2018,5/1/2019,8874403232,
6772,8639680329,34-083-1686,12-867-3295,Rogahn-Johns,Business Development,Orange Company,0.3,Partner & Responsible Manager,IT Services,1,8094964545,13,2671575092,Waywood,,161-304-2093,787-267-4573,526-766-2762,61,13/05/2018,20/10/2018,20/07/2018,2/12/2018,5432685515,
6773,517221845,40-862-7909,68-233-8243,Konopelski LLC,Research and Development,Steak Holder,0.8,Signatory,Fashion Designing,2,2498947302,15,329588583,Atwood,,866-577-2664,721-831-7002,163-256-6300,18,8/3/2018,23/06/2018,15/03/2018,19/09/2018,7733476291,
6774,3406451624,52-996-5141,75-358-6256,"O'Reilly, Gislason and Powlowski",Engineering,Orange Company,0.1,Signatory,Food Delivery,3,4444071540,26,473182653,Schmedeman,,450-859-3793,750-935-7720,689-209-3784,4,16/07/2018,26/03/2018,12/3/2018,15/08/2018,535056826,
6775,5002099599,03-513-4246,43-521-0139,Balistreri LLC,Services,Steak Holder,0.5,Partner & Responsible Manager,Fashion Designing,4,420944249,14,4753689026,Mitchell,,998-496-6652,843-562-3581,255-419-9558,7,13/10/2018,27/07/2018,22/04/2018,29/08/2018,8879692763,
6776,4420496533,39-849-2302,60-905-3812,"Stanton, Sporer and Marvin",Training,Glass Inc.,0.9,Signatory,Car Manufacturing,5,4258628042,31,7740193003,Becker,,452-806-1601,141-723-9951,635-466-6819,9219,9/3/2018,16/01/2019,21/05/2018,30/07/2018,3214001469,
6777,6121354534,84-902-0954,62-179-5995,Rowe-Monahan,Sales,Souk al Waha,0.8,Sponsor,Food Provider,1,2407114426,22,2619834678,Annamark,,538-294-4895,983-627-9724,436-266-1573,216,21/10/2018,20/11/2018,20/05/2018,27/10/2018,833898736,
6778,1381663591,17-973-3708,40-567-5875,Konopelski-Harris,Support,Souk al Waha,0.3,Sponsor,IT Services,2,8828195355,4,4131968290,West,,919-479-3119,106-117-6212,367-272-8866,857,14/07/2018,8/1/2019,27/07/2018,27/06/2018,3223044205,
6779,8446337983,59-854-8349,05-691-3956,"Windler, Jacobi and Willms",Engineering,Souk al Waha,0.9,Sponsor,IT Services,3,981816681,18,5670160665,Helena,,624-709-8043,920-712-7426,131-281-6880,222,26/01/2019,2/8/2018,3/9/2018,2/6/2018,9592566313,
6780,7611323,56-742-8119,86-658-9828,Stehr-Will,Research and Development,Glass Inc.,0.6,Partner & Responsible Manager,Car Manufacturing,4,9593681523,18,187388946,Truax,,740-204-1511,725-638-9534,361-744-8931,834,12/9/2018,16/05/2018,29/03/2018,17/07/2018,7560194796,
6781,1566829860,62-146-3448,29-362-8521,Harris LLC,Sales,Steak Holder,0.7,Signatory,Fashion Designing,5,5864047724,8,9515678471,Namekagon,,152-124-7003,208-521-6961,762-251-8097,31338,10/7/2018,2/10/2018,4/12/2018,18/08/2018,5163271113,
6782,2067547305,30-974-9493,99-830-3832,Jones-Predovic,Services,Souk al Waha,0.8,Sponsor,Food Delivery,1,7920178339,17,7002286137,Bay,,272-744-9529,526-791-3253,466-696-8574,22471,4/11/2018,17/09/2018,1/4/2018,26/02/2018,9717541590,
6783,6327379974,06-719-9240,34-300-8882,"Wilderman, Goyette and Durgan",Accounting,Steak Holder,0.1,Partner & Responsible Manager,Car Manufacturing,2,4506161807,20,4201307476,Summerview,,328-911-3922,828-698-2566,366-834-2891,9703,17/11/2018,18/10/2018,17/04/2018,31/03/2018,3113610281,
6784,3773671725,34-634-6692,02-918-8633,Ferry and Sons,Business Development,Steak Holder,0.6,Project Manager,Car Manufacturing,3,1054781842,30,4614115284,Lake View,,641-246-3467,297-759-0675,413-992-6484,282,9/6/2018,4/11/2018,11/11/2018,2/11/2018,7996931771,
6785,4474720113,25-547-5339,12-031-5211,Willms-Hyatt,Product Management,Steak Holder,0.4,Sponsor,IT Services,4,321213270,3,3291015940,Bowman,,668-603-8303,517-738-8419,734-173-6649,11,26/01/2019,23/01/2019,8/12/2018,19/01/2019,4270848138,
6786,33027226,82-643-1933,46-986-9435,Murray Inc,Services,Orange Company,0,Signatory,IT Services,5,1155078012,13,9172847735,Arkansas,,970-903-2487,309-158-3198,670-253-6391,724,23/06/2018,7/11/2018,23/11/2018,30/06/2018,1273767446,
6787,3911181728,91-671-5181,40-672-7468,"Weber, Medhurst and Romaguera",Services,Souk al Waha,0.4,Partner & Responsible Manager,Food Delivery,1,8474125553,13,937812587,Mayfield,,433-471-4810,998-303-8798,378-453-9672,1540,28/12/2018,11/11/2018,9/7/2018,1/6/2018,9978571442,
6788,3813135225,67-832-2630,12-715-9780,Little-Kreiger,Business Development,Orange Company,0.5,Project Manager,IT Services,2,1326557432,25,4632923397,Arkansas,,754-880-2369,405-105-8055,114-897-9041,395,27/04/2018,10/2/2019,4/7/2018,4/5/2018,8936933353,
6789,8036963159,18-536-5459,31-195-8874,Farrell-Ferry,Engineering,Souk al Waha,0.3,Partner & Responsible Manager,Fashion Designing,3,1807493660,11,1711155616,Armistice,,229-271-5875,579-302-5492,174-388-4588,72,26/12/2018,10/1/2019,19/03/2018,18/08/2018,22160388,
6790,938385801,70-256-4552,44-851-8388,Gusikowski and Sons,Legal,Souk al Waha,0.6,Signatory,Food Provider,4,5266833009,14,8566450922,Gateway,,318-851-8693,258-986-0336,632-358-5183,3885,20/11/2018,15/02/2018,4/12/2018,16/07/2018,3554332909,
6791,5495662865,97-570-0933,73-545-6062,"Wyman, Kutch and Sanford",Sales,Steak Holder,0.9,Project Manager,Food Provider,5,5956950781,30,8588417537,Monument,,437-290-4788,749-712-0626,261-660-3162,9,16/02/2018,1/6/2018,17/03/2018,18/01/2019,4039574435,
6792,53815483,72-388-0819,95-073-1705,"Streich, Johnson and Schuster",Services,Steak Holder,0.2,Project Manager,Food Delivery,1,7446281871,3,619979887,Pleasure,,715-464-4245,147-672-2111,961-585-4162,91567,17/01/2019,14/02/2018,12/7/2018,12/12/2018,4011310107,
6793,1159521891,12-162-3963,57-286-5806,"Gutkowski, Abbott and Greenfelder",Accounting,Steak Holder,0.5,Sponsor,IT Services,2,7422726660,12,7431419848,Lakewood,,394-965-0235,368-159-2839,550-254-4795,5066,17/01/2019,6/9/2018,7/8/2018,16/01/2019,1304097706,
6794,8363103144,00-317-9859,22-794-4799,Runolfsson-Schroeder,Sales,Orange Company,0,Partner & Responsible Manager,Food Delivery,3,7068982832,13,4380426343,Johnson,,782-384-7818,333-857-0015,418-718-7716,3,13/07/2018,9/12/2018,29/03/2018,5/5/2018,222309865,
6795,9076684774,67-753-9786,60-912-2597,Runte-Bradtke,Training,Orange Company,0.2,Partner & Responsible Manager,Food Delivery,4,9036781760,27,2270042654,Bayside,,695-600-6908,240-502-0168,730-918-9529,36392,7/2/2019,10/6/2018,16/08/2018,22/10/2018,2746193981,
6796,1889728020,74-910-3063,11-965-2241,Russel-Harris,Human Resources,Souk al Waha,1,Partner & Responsible Manager,IT Services,5,4084354538,1,2936580633,Tennessee,,993-539-6862,644-451-7650,129-153-0985,3,3/7/2018,14/04/2018,12/11/2018,3/10/2018,9910461560,
6797,6212930961,58-828-5772,74-776-9512,Jacobs Inc,Product Management,Glass Inc.,0.2,Sponsor,Car Manufacturing,1,5244094912,19,2805772555,Sauthoff,,695-199-2058,350-689-3770,644-158-1661,33,18/04/2018,26/06/2018,25/02/2018,6/4/2018,5841187287,
6798,4066908357,80-170-6673,27-633-4022,Ruecker-O'Connell,Research and Development,Glass Inc.,0,Sponsor,Fashion Designing,2,274782774,23,5460202531,Lindbergh,,879-458-1013,555-240-9604,783-583-1075,11696,10/6/2018,20/07/2018,21/04/2018,18/02/2018,6729542659,
6799,3292500753,53-079-1634,98-771-3078,"Walter, Bartoletti and Boyer",Sales,Souk al Waha,0.1,Partner & Responsible Manager,Fashion Designing,3,9959833631,12,2390201857,Gateway,,788-187-6141,517-717-2848,121-304-0992,8361,25/10/2018,17/01/2019,19/07/2018,5/11/2018,4929496497,
